label,value,type
واحد,1,ONE
احدى,1,ONE
احد,1,ONE
اثنين,2,ONE
اثنتين,2,ONE
اثنتي,2,ONE
ثلاث,3,ONE
ثلث,3,ONE
اربع,4,ONE
خمس,5,ONE
ست,6,ONE
سبع,7,ONE
ثماني,8,ONE
ثمان,8,ONE
تسع,9,ONE
نيف,5,ONE
بضع,5,ONE
عشرة,10,TEN
عشري,10,TEN
عشر,10,TEN
عشرين,20,TEN
ثلاثين,30,TEN
اربعين,40,TEN
خمسين,50,TEN
ستين,60,TEN
سبعين,70,TEN
ثمانين,80,TEN
تسعين,90,TEN
مائة,100,HUNDRED
ماية,100,HUNDRED
مية,100,HUNDRED
مئة,100,HUNDRED
مائتين,200,HUNDRED
مايتين,200,HUNDRED
ميتين,200,HUNDRED
ثلاثمائة,300,HUNDRED
ثلاث مائة,300,HUNDRED
ثلثمائة,300,HUNDRED
ثلث مائة,300,HUNDRED
اربعمائة,400,HUNDRED
اربع مائة,400,HUNDRED
خمسمائة,500,HUNDRED
خمس مائة,500,HUNDRED
ستمائة,600,HUNDRED
ست مائة,600,HUNDRED
سبعمائة,700,HUNDRED
سبع مائة,700,HUNDRED
ثمانمائة,800,HUNDRED
ثمان مائة,800,HUNDRED
ثمانيمائة,800,HUNDRED
ثماني مائة,800,HUNDRED
تسعمائة,900,HUNDRED
تسع مائة,900,HUNDRED
ثلاثماية,300,HUNDRED
ثلاث ماية,300,HUNDRED
ثلثماية,300,HUNDRED
ثلث ماية,300,HUNDRED
اربعماية,400,HUNDRED
اربع ماية,400,HUNDRED
خمسماية,500,HUNDRED
خمس ماية,500,HUNDRED
ستماية,600,HUNDRED
ست ماية,600,HUNDRED
سبعماية,700,HUNDRED
سبع ماية,700,HUNDRED
ثمانماية,800,HUNDRED
ثمان ماية,800,HUNDRED
ثمانيماية,800,HUNDRED
ثماني ماية,800,HUNDRED
تسعماية,900,HUNDRED
تسع ماية,900,HUNDRED
ثلاثمية,300,HUNDRED
ثلاث مية,300,HUNDRED
ثلثمية,300,HUNDRED
ثلث مية,300,HUNDRED
اربعمية,400,HUNDRED
اربع مية,400,HUNDRED
خمسمية,500,HUNDRED
خمس مية,500,HUNDRED
ستمية,600,HUNDRED
ست مية,600,HUNDRED
سبعمية,700,HUNDRED
سبع مية,700,HUNDRED
ثمانمية,800,HUNDRED
ثمان مية,800,HUNDRED
ثمانيمية,800,HUNDRED
ثماني مية,800,HUNDRED
تسعمية,900,HUNDRED
تسع مية,900,HUNDRED
ثلاثمئة,300,HUNDRED
ثلاث مئة,300,HUNDRED
ثلثمئة,300,HUNDRED
ثلث مئة,300,HUNDRED
اربعمئة,400,HUNDRED
اربع مئة,400,HUNDRED
خمسمئة,500,HUNDRED
خمس مئة,500,HUNDRED
ستمئة,600,HUNDRED
ست مئة,600,HUNDRED
سبعمئة,700,HUNDRED
سبع مئة,700,HUNDRED
ثمانمئة,800,HUNDRED
ثمان مئة,800,HUNDRED
ثمانيمئة,800,HUNDRED
ثماني مئة,800,HUNDRED
تسعمئة,900,HUNDRED
تسع مئة,900,HUNDRED
ألف,1000,THOUSAND
